130 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.86534, 'val_kl_Loss_FC': 1e-05}
131 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.90461, 'val_kl_Loss_FC': 1e-05}
132 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.8529, 'val_kl_Loss_FC': 1e-05}
133 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.82919, 'val_kl_Loss_FC': 0.0}
134 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.84803, 'val_kl_Loss_FC': 0.0}
135 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.82947, 'val_kl_Loss_FC': 1e-05}
136 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00028, 'val_kl_Loss_Z': 1.3467, 'val_kl_Loss_FC': 0.0}
137 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.93991, 'val_kl_Loss_FC': 0.0}
138 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.85917, 'val_kl_Loss_FC': 0.0}
139 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.83765, 'val_kl_Loss_FC': 0.0}
140 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.82336, 'val_kl_Loss_FC': 0.0}
141 saved {'val_OrigRecLoss': 0.0004, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.82281, 'val_kl_Loss_FC': 0.0}
142 saved {'val_OrigRecLoss': 0.0004, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.81521, 'val_kl_Loss_FC': 0.0}
143 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.79706, 'val_kl_Loss_FC': 0.0}
144 saved {'val_OrigRecLoss': 0.0004, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.81161, 'val_kl_Loss_FC': 0.0}
145 saved {'val_OrigRecLoss': 0.0004, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.83541, 'val_kl_Loss_FC': 0.0}
146 not saved {'val_OrigRecLoss': 0.0004, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.78103, 'val_kl_Loss_FC': 1e-05}
147 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.77393, 'val_kl_Loss_FC': 0.0}
148 saved {'val_OrigRecLoss': 0.0004, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.43866, 'val_kl_Loss_FC': 1e-05}
149 saved {'val_OrigRecLoss': 0.0004, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.2035, 'val_kl_Loss_FC': 1e-05}
