198 not saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.32034}
199 saved {'val_OrigRecLoss': 0.00314, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.32115}
200 not saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.32525}
201 saved {'val_OrigRecLoss': 0.00314, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.32125}
202 saved {'val_OrigRecLoss': 0.00314, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.32595}
203 not saved {'val_OrigRecLoss': 0.00314, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.32236}
204 not saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.33148}
205 not saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.3171}
206 saved {'val_OrigRecLoss': 0.00314, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.32382}
207 saved {'val_OrigRecLoss': 0.00314, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.31888}
208 not saved {'val_OrigRecLoss': 0.00314, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.31747}
209 saved {'val_OrigRecLoss': 0.00314, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.32158}
210 saved {'val_OrigRecLoss': 0.00314, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.33551}
211 not saved {'val_OrigRecLoss': 0.00314, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.31488}
212 saved {'val_OrigRecLoss': 0.00314, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.32102}
213 saved {'val_OrigRecLoss': 0.00314, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.31901}
214 not saved {'val_OrigRecLoss': 0.00314, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.3196}
215 not saved {'val_OrigRecLoss': 0.00314, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.31496}
216 saved {'val_OrigRecLoss': 0.00314, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.3172}
217 saved {'val_OrigRecLoss': 0.00314, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.32054}
218 not saved {'val_OrigRecLoss': 0.00314, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.31684}
219 not saved {'val_OrigRecLoss': 0.00314, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.33093}
220 saved {'val_OrigRecLoss': 0.00314, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.31905}
