MetricType,Model,Source,Type,Depth,LatDim,Comp,MP,AC,SS,RA,ISCOREam,ISCOREgm,ISCOREhm
welch_evo,VDVAE_ART_30_VitalDB,VitalDB,ART,,30,,0.3524155729218573,0.5955712567445262,0.7785005781435153,0.974795695291376,0.6753207757753187,0.6317428579544468,0.5859092503810046
welch_evo,VDVAE_II_30_Mimic,Mimic,II,,30,,0.32239442458269785,0.6394224080108367,0.6377733176098549,0.4815249645936481,0.5202787786992593,0.5016087827444035,0.48132502437386043
welch_evo,VDVAE_II_30_VitalDB,VitalDB,II,,30,,0.11791691154591644,0.7312888889598462,0.7865319446766386,0.8772644768873741,0.6282505555174438,0.49388745513237253,0.32628269933380094
welch_evo,VDWave_ART_Mimic,Mimic,ART,,0,,0.9384767080155421,0.09026375134430616,0.5879415533299077,0.9608979068902463,0.6443949798950006,0.46772121587083787,0.26871348360492153
welch_evo,VDWave_ART_VitalDB,VitalDB,ART,,0,,0.8741500333966898,0.06357662640150374,0.5724634932423933,0.9640791075332642,0.6185673151434627,0.4184908638963989,0.20348866090357812
welch_evo,VDWave_II_Mimic,Mimic,II,,0,,0.9537263115211309,0.033246632703357315,0.8558884149334461,0.8824253430881828,0.6813216755615292,0.3933839506517315,0.11965884126152912
welch_evo,VDWave_II_VitalDB,VitalDB,II,,0,,0.7810950311589512,0.03550132502058607,0.8540632886938253,0.8923703950901005,0.6407575099908658,0.38128165621753674,0.12602513172558835
welch_evo,Wavenet_ART_Mimic,Mimic,ART,,0,,0.17886259701448137,0.3395563419558936,0.4540128365220284,0.9667606001874164,0.484798093919955,0.4040681444699319,0.3397643268305733
welch_evo,Wavenet_ART_VitalDB,VitalDB,ART,,0,,0.09298226962662193,0.28508686241106374,0.5153578613749721,0.9664325049353356,0.4649648745869983,0.33897248347090037,0.232051214908195
welch_evo,Wavenet_II_Mimic,Mimic,II,,0,,0.11059823178615624,0.2334248864582219,0.5362803851058562,0.0682660536100339,0.23714238924006706,0.1753367742913244,0.13405259482166215
welch_evo,Wavenet_II_VitalDB,VitalDB,II,,0,,0.3821705357824915,0.29882073802440856,0.622600714917176,0.6945138092304246,0.4995264494886251,0.4714000333439029,0.4439934024304047
