196 not saved {'val_OrigRecLoss': 0.01076, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.62098}
197 saved {'val_OrigRecLoss': 0.0107, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.62396}
198 saved {'val_OrigRecLoss': 0.01068, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.61819}
199 saved {'val_OrigRecLoss': 0.01066, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 1.01958}
200 not saved {'val_OrigRecLoss': 0.01068, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 1.20128}
201 saved {'val_OrigRecLoss': 0.01063, 'val_FeatRecLoss': 0.00019, 'val_kl_Loss_Z': 0.88677}
202 saved {'val_OrigRecLoss': 0.01061, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.77212}
203 saved {'val_OrigRecLoss': 0.01059, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.7162}
204 not saved {'val_OrigRecLoss': 0.01059, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.68664}
205 saved {'val_OrigRecLoss': 0.01058, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.66437}
206 not saved {'val_OrigRecLoss': 0.01059, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.6471}
207 saved {'val_OrigRecLoss': 0.01055, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.63184}
208 not saved {'val_OrigRecLoss': 0.01059, 'val_FeatRecLoss': 0.00021, 'val_kl_Loss_Z': 0.62557}
209 saved {'val_OrigRecLoss': 0.01051, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.6292}
210 saved {'val_OrigRecLoss': 0.01051, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.6233}
211 saved {'val_OrigRecLoss': 0.01045, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.62699}
212 not saved {'val_OrigRecLoss': 0.01047, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.61003}
213 saved {'val_OrigRecLoss': 0.01042, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.61196}
214 saved {'val_OrigRecLoss': 0.0104, 'val_FeatRecLoss': 0.00021, 'val_kl_Loss_Z': 0.6515}
215 saved {'val_OrigRecLoss': 0.01036, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.60105}
216 saved {'val_OrigRecLoss': 0.01033, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.60433}
217 not saved {'val_OrigRecLoss': 0.01035, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.61087}
218 saved {'val_OrigRecLoss': 0.01031, 'val_FeatRecLoss': 0.00019, 'val_kl_Loss_Z': 0.59933}
219 not saved {'val_OrigRecLoss': 0.01032, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.62275}
