101 not saved {'val_OrigRecLoss': 0.00182, 'val_FeatRecLoss': 0.00137, 'val_kl_Loss_Z': 1.62903, 'val_kl_Loss_FC': 1e-05}
102 not saved {'val_OrigRecLoss': 0.00193, 'val_FeatRecLoss': 0.00134, 'val_kl_Loss_Z': 1.59775, 'val_kl_Loss_FC': 1e-05}
103 not saved {'val_OrigRecLoss': 0.0018, 'val_FeatRecLoss': 0.00134, 'val_kl_Loss_Z': 1.52673, 'val_kl_Loss_FC': 1e-05}
104 saved {'val_OrigRecLoss': 0.00177, 'val_FeatRecLoss': 0.00131, 'val_kl_Loss_Z': 1.54436, 'val_kl_Loss_FC': 0.0}
105 not saved {'val_OrigRecLoss': 0.00186, 'val_FeatRecLoss': 0.00128, 'val_kl_Loss_Z': 1.59203, 'val_kl_Loss_FC': 0.0}
106 not saved {'val_OrigRecLoss': 0.00186, 'val_FeatRecLoss': 0.00123, 'val_kl_Loss_Z': 1.59344, 'val_kl_Loss_FC': 0.0}
107 not saved {'val_OrigRecLoss': 0.00188, 'val_FeatRecLoss': 0.00125, 'val_kl_Loss_Z': 1.57027, 'val_kl_Loss_FC': 0.0}
108 not saved {'val_OrigRecLoss': 0.00181, 'val_FeatRecLoss': 0.00122, 'val_kl_Loss_Z': 1.55553, 'val_kl_Loss_FC': 1e-05}
109 not saved {'val_OrigRecLoss': 0.00179, 'val_FeatRecLoss': 0.0012, 'val_kl_Loss_Z': 1.51229, 'val_kl_Loss_FC': 1e-05}
110 saved {'val_OrigRecLoss': 0.00177, 'val_FeatRecLoss': 0.00117, 'val_kl_Loss_Z': 1.57058, 'val_kl_Loss_FC': 0.0}
111 not saved {'val_OrigRecLoss': 0.00177, 'val_FeatRecLoss': 0.00117, 'val_kl_Loss_Z': 1.52684, 'val_kl_Loss_FC': 0.0}
112 not saved {'val_OrigRecLoss': 0.00178, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 1.58522, 'val_kl_Loss_FC': 1e-05}
113 not saved {'val_OrigRecLoss': 0.00182, 'val_FeatRecLoss': 0.00114, 'val_kl_Loss_Z': 1.54448, 'val_kl_Loss_FC': 0.0}
